"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"15780","GO:0070137",0.229185109766977,0.948121033716961,3,5,"ubiquitin-like protein-specific endopeptidase activity","MF"
"15782","GO:0070139",0.229185109766977,0.948121033716961,3,5,"SUMO-specific endopeptidase activity","MF"
"17464","GO:0090192",0.229190745481625,0.894428106324791,7,16,"regulation of glomerulus development","BP"
"7838","GO:0031291",0.229264324021785,0.970092973444369,2,3,"Ran protein signal transduction","BP"
"10231","GO:0036112",0.229265472247362,0.970092715045787,2,3,"medium-chain fatty-acyl-CoA metabolic process","BP"
"4318","GO:0008889",0.22930261719095,0.948079567371962,3,5,"glycerophosphodiester phosphodiesterase activity","MF"
"1743","GO:0003899",0.2293477804013,0.862810270400058,13,36,"DNA-directed 5'-3' RNA polymerase activity","MF"
"19004","GO:1900226",0.229456000568499,0.948025419940785,3,5,"negative regulation of NLRP3 inflammasome complex assembly","BP"
"5775","GO:0016137",0.229492737751024,0.891029861214105,7,18,"glycoside metabolic process","BP"
"11387","GO:0043508",0.229753300057381,0.90316390195968,6,13,"negative regulation of JUN kinase activity","BP"
"4646","GO:0009786",0.229804832306006,0.947902186404722,3,5,"regulation of asymmetric cell division","BP"
"461","GO:0001224",0.229889925430623,0.947872106395431,3,5,"RNA polymerase II transcription cofactor binding","MF"
"18632","GO:0106014",0.229983506427576,0.969930916027324,2,3,"regulation of inflammatory response to wounding","BP"
"18633","GO:0106015",0.229983506427576,0.969930916027324,2,3,"negative regulation of inflammatory response to wounding","BP"
"18638","GO:0106020",0.23011940637403,0.947790949358337,3,5,"regulation of vesicle docking","BP"
"16109","GO:0070695",0.230137558787676,0.947784527389109,3,5,"FHF complex","CC"
"17563","GO:0090315",0.230138344664531,0.940137720789894,3,6,"negative regulation of protein targeting to membrane","BP"
"4952","GO:0010719",0.230140475638847,0.871681708406713,11,27,"negative regulation of epithelial to mesenchymal transition","BP"
"2419","GO:0004977",0.230146347479429,0.940134516486099,3,6,"melanocortin receptor activity","MF"
"9326","GO:0034213",0.230164532235296,1,1,1,"quinolinate catabolic process","BP"
"4872","GO:0010587",0.230225747571318,0.931648476305614,4,7,"miRNA catabolic process","BP"
"8512","GO:0032460",0.230258500527744,0.893777757783995,7,16,"negative regulation of protein oligomerization","BP"
"4933","GO:0010669",0.230372824161672,0.880292774433628,9,22,"epithelial structure maintenance","BP"
"20076","GO:1903421",0.230687665403134,0.865166332189528,13,31,"regulation of synaptic vesicle recycling","BP"
"1224","GO:0002676",0.2306930537738,0.911088727789086,5,11,"regulation of chronic inflammatory response","BP"
"3610","GO:0007016",0.230712901774689,0.94758080900583,3,5,"cytoskeletal anchoring at plasma membrane","BP"
"4709","GO:0009988",0.230728223568436,0.842569193952013,22,62,"cell-cell recognition","BP"
"2542","GO:0005173",0.230861466487704,0.969732506018578,2,3,"stem cell factor receptor binding","MF"
"16961","GO:0072216",0.230867212770716,0.902527301702663,6,13,"positive regulation of metanephros development","BP"
"21984","GO:2000508",0.230933000407981,0.921459248821845,4,9,"regulation of dendritic cell chemotaxis","BP"
"16149","GO:0070782",0.231072027495426,0.969684827453985,2,3,"phosphatidylserine exposure on apoptotic cell surface","BP"
"2337","GO:0004853",0.231264840810612,1,1,1,"uroporphyrinogen decarboxylase activity","MF"
"8624","GO:0032621",0.231373238120694,0.914159244772148,5,10,"interleukin-18 production","BP"
"4792","GO:0010387",0.231392924411877,0.969612094963394,2,3,"COP9 signalosome assembly","BP"
"2518","GO:0005144",0.231401960662498,1,1,1,"interleukin-13 receptor binding","MF"
"21790","GO:2000231",0.231401960662498,1,1,1,"positive regulation of pancreatic stellate cell proliferation","BP"
"1021","GO:0002325",0.231431233071798,0.958844629774485,2,4,"natural killer cell differentiation involved in immune response","BP"
"4290","GO:0008745",0.231431233071798,0.958844629774485,2,4,"N-acetylmuramoyl-L-alanine amidase activity","MF"
"5712","GO:0016019",0.231431233071798,0.958844629774485,2,4,"peptidoglycan receptor activity","MF"
"8763","GO:0032824",0.231431233071798,0.958844629774485,2,4,"negative regulation of natural killer cell differentiation","BP"
"8765","GO:0032826",0.231431233071798,0.958844629774485,2,4,"regulation of natural killer cell differentiation involved in immune response","BP"
"8766","GO:0032827",0.231431233071798,0.958844629774485,2,4,"negative regulation of natural killer cell differentiation involved in immune response","BP"
"2826","GO:0005796",0.231545469623404,0.939573231235767,3,6,"Golgi lumen","CC"
"8401","GO:0032309",0.231736850803173,0.851362623015852,17,46,"icosanoid secretion","BP"
"2606","GO:0005315",0.231777808416867,0.947202858621798,3,5,"inorganic phosphate transmembrane transporter activity","MF"
"21156","GO:1905564",0.232000900336235,0.894814820686897,7,15,"positive regulation of vascular endothelial cell proliferation","BP"
"17114","GO:0072537",0.232067643684479,0.901839775564122,6,13,"fibroblast activation","BP"
"8029","GO:0031629",0.232102982119966,0.874986334589012,10,24,"synaptic vesicle fusion to presynaptic active zone membrane","BP"
"18478","GO:0099500",0.232102982119966,0.874986334589012,10,24,"vesicle fusion to plasma membrane","BP"
"11936","GO:0045085",0.232165758082796,0.947064883707517,3,5,"negative regulation of interleukin-2 biosynthetic process","BP"
"13851","GO:0051181",0.232215466895428,0.861893520214983,13,34,"cofactor transport","BP"
"3558","GO:0006931",0.232580669180585,0.969342153148025,2,3,"substrate-dependent cell migration, cell attachment to substrate","BP"
"4434","GO:0009155",0.232649015220933,0.939129006058822,3,6,"purine deoxyribonucleotide catabolic process","BP"
"6571","GO:0019364",0.232658415934308,0.939125216117878,3,6,"pyridine nucleotide catabolic process","BP"
"1022","GO:0002326",0.232710740161654,0.946870801839338,3,5,"B cell lineage commitment","BP"
"4862","GO:0010566",0.232919509032591,0.892151853092799,7,16,"regulation of ketone biosynthetic process","BP"
"18947","GO:1900133",0.233125100112354,0.946723035968171,3,5,"regulation of renin secretion into blood stream","BP"
"2835","GO:0005816",0.233187265276018,0.92445329349633,4,8,"spindle pole body","CC"
"521","GO:0001573",0.233370829595453,0.8860712009763,8,18,"ganglioside metabolic process","BP"
"12366","GO:0045950",0.23340513080673,0.946623074824046,3,5,"negative regulation of mitotic recombination","BP"
"12346","GO:0045924",0.233565708921343,0.909542583458925,5,11,"regulation of female receptivity","BP"
"6708","GO:0019814",0.233590007067455,0.938749159589429,3,6,"immunoglobulin complex","CC"
"5246","GO:0014731",0.233648005527827,0.930149212173128,4,7,"spectrin-associated cytoskeleton","CC"
"13234","GO:0048599",0.233762033247048,0.851182802598562,17,43,"oocyte development","BP"
"7617","GO:0030877",0.233800061831415,0.912894599396284,5,10,"beta-catenin destruction complex","CC"
"4946","GO:0010713",0.233973279579392,0.898361613097787,6,14,"negative regulation of collagen metabolic process","BP"
"8852","GO:0032966",0.233973279579392,0.898361613097787,6,14,"negative regulation of collagen biosynthetic process","BP"
"18168","GO:0098690",0.234107569485959,0.900667923660229,6,13,"glycinergic synapse","CC"
"16395","GO:0071295",0.234192350060134,0.900619124935954,6,13,"cellular response to vitamin","BP"
"3148","GO:0006353",0.234198523659469,0.879038532738468,9,21,"DNA-templated transcription, termination","BP"
"1770","GO:0003948",0.234259947045044,1,1,1,"N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity","MF"
"2556","GO:0005215",0.234268190339009,0.785216496081167,381,1118,"transporter activity","MF"
"15352","GO:0061179",0.234355484230106,0.891271415701615,7,16,"negative regulation of insulin secretion involved in cellular response to glucose stimulus","BP"
"14688","GO:0060166",0.234414160090602,0.968923176453538,2,3,"olfactory pit development","BP"
"12082","GO:0045360",0.23443489890863,0.968918421557799,2,3,"regulation of interleukin-1 biosynthetic process","BP"
"12083","GO:0045362",0.23443489890863,0.968918421557799,2,3,"positive regulation of interleukin-1 biosynthetic process","BP"
"1373","GO:0002884",0.234524600066426,0.968897851236872,2,3,"negative regulation of hypersensitivity","BP"
"3440","GO:0006735",0.234581001783957,0.946202460607251,3,5,"NADH regeneration","BP"
"15521","GO:0061621",0.234581001783957,0.946202460607251,3,5,"canonical glycolysis","BP"
"15569","GO:0061718",0.234581001783957,0.946202460607251,3,5,"glucose catabolic process to pyruvate","BP"
"15668","GO:0061945",0.234588015619411,0.968883304752949,2,3,"regulation of protein K48-linked ubiquitination","BP"
"15517","GO:0061615",0.234962333016558,0.908787617271903,5,11,"glycolytic process through fructose-6-phosphate","BP"
"10008","GO:0035720",0.235008638702756,0.946049144671706,3,5,"intraciliary anterograde transport","BP"
"22148","GO:2000739",0.235029644342171,0.929540390160292,4,7,"regulation of mesenchymal stem cell differentiation","BP"
"147","GO:0000288",0.235065211228582,0.847441133789639,18,47,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","BP"
"17498","GO:0090237",0.235094009934456,0.923551512418534,4,8,"regulation of arachidonic acid secretion","BP"
"6244","GO:0017067",0.235203460233596,1,1,1,"tyrosine-ester sulfotransferase activity","MF"
"6443","GO:0018960",0.235203460233596,1,1,1,"4-nitrophenol metabolic process","BP"
"7737","GO:0031087",0.23520769836272,0.945977714632165,3,5,"deadenylation-independent decapping of nuclear-transcribed mRNA","BP"
"2189","GO:0004645",0.235267164037976,0.94595636831606,3,5,"phosphorylase activity","MF"
"11237","GO:0043247",0.235407833642485,0.899918666353209,6,13,"telomere maintenance in response to DNA damage","BP"
"14005","GO:0051429",0.235571919357191,0.937945948254401,3,6,"corticotropin-releasing hormone receptor binding","MF"
"12703","GO:0046691",0.235601853534581,0.968650297707906,2,3,"intracellular canaliculus","CC"
"8062","GO:0031683",0.235653878183455,0.872567488223773,10,24,"G-protein beta/gamma-subunit complex binding","MF"
"8656","GO:0032672",0.235935561232945,0.968573417680105,2,3,"regulation of interleukin-3 production","BP"
"6090","GO:0016769",0.236111027443885,0.876473556742655,9,22,"transferase activity, transferring nitrogenous groups","MF"
"18209","GO:0098763",0.236174028952556,0.968518422981038,2,3,"mitotic cell cycle phase","BP"
"3989","GO:0008173",0.236219368731503,0.844078707989609,19,51,"RNA methyltransferase activity","MF"
"5841","GO:0016275",0.23634299250678,1,1,1,"[cytochrome c]-arginine N-methyltransferase activity","MF"
"7481","GO:0030519",0.23634299250678,1,1,1,"snoRNP binding","MF"
"19685","GO:1902555",0.236464757461017,0.865549523850415,11,29,"endoribonuclease complex","CC"
"21062","GO:1905348",0.236464757461017,0.865549523850415,11,29,"endonuclease complex","CC"
"14889","GO:0060435",0.236624518753041,0.968414404550468,2,3,"bronchiole development","BP"
"14423","GO:0052745",0.236796122317583,0.878811851094623,9,20,"inositol phosphate phosphatase activity","MF"
"1463","GO:0003105",0.236829164783778,0.937434187169114,3,6,"negative regulation of glomerular filtration","BP"
"15055","GO:0060681",0.236895018783751,0.9453706235705,3,5,"branch elongation involved in ureteric bud branching","BP"
"12295","GO:0045833",0.236910230959873,0.829261954263681,29,80,"negative regulation of lipid metabolic process","BP"
"19054","GO:1900426",0.236944542347256,0.907712442550593,5,11,"positive regulation of defense response to bacterium","BP"
"14718","GO:0060219",0.236962469817549,0.867922928019292,11,26,"camera-type eye photoreceptor cell differentiation","BP"
"18373","GO:0099011",0.23706904183996,0.928638008286945,4,7,"neuronal dense core vesicle exocytosis","BP"
"18500","GO:0099525",0.23706904183996,0.928638008286945,4,7,"presynaptic dense core vesicle exocytosis","BP"
"4151","GO:0008428",0.237247702697091,0.968270235189723,2,3,"ribonuclease inhibitor activity","MF"
"5721","GO:0016036",0.237342842315431,1,1,1,"cellular response to phosphate starvation","BP"
"7874","GO:0031337",0.237342842315431,1,1,1,"positive regulation of sulfur amino acid metabolic process","BP"
"13498","GO:0050666",0.237342842315431,1,1,1,"regulation of homocysteine metabolic process","BP"
"13500","GO:0050668",0.237342842315431,1,1,1,"positive regulation of homocysteine metabolic process","BP"
"7348","GO:0030263",0.23745941085334,0.945166911618493,3,5,"apoptotic chromosome condensation","BP"
"9957","GO:0035643",0.237475757179604,1,1,1,"L-DOPA receptor activity","MF"
"17120","GO:0072544",0.237475757179604,1,1,1,"L-DOPA binding","MF"
"14094","GO:0051598",0.237496198589825,0.968212658059403,2,3,"meiotic recombination checkpoint","BP"
"16885","GO:0072109",0.237554791100746,0.891457274267875,7,15,"glomerular mesangium development","BP"
"18216","GO:0098779",0.237572106262014,0.922373530675307,4,8,"positive regulation of mitophagy in response to mitochondrial depolarization","BP"
"19270","GO:1901526",0.237572106262014,0.922373530675307,4,8,"positive regulation of mitophagy","BP"
"15501","GO:0061577",0.237737951042764,0.907280884843053,5,11,"calcium ion transmembrane transport via high voltage-gated calcium channel","BP"
"6720","GO:0019841",0.237740898106568,0.902349222234617,5,13,"retinol binding","MF"
"448","GO:0001173",0.237741305491991,1,1,1,"DNA-templated transcriptional start site selection","BP"
"449","GO:0001174",0.237741305491991,1,1,1,"transcriptional start site selection at RNA polymerase II promoter","BP"
"21355","GO:1990114",0.237741305491991,1,1,1,"RNA polymerase II core complex assembly","BP"
"1537","GO:0003220",0.237887303600421,0.968121934866335,2,3,"left ventricular cardiac muscle tissue morphogenesis","BP"
"11290","GO:0043322",0.238006478480645,1,1,1,"negative regulation of natural killer cell degranulation","BP"
"13279","GO:0048679",0.238056810143971,0.861988323531508,12,30,"regulation of axon regeneration","BP"
"525","GO:0001578",0.238187289433612,0.823333364232478,35,93,"microtubule bundle formation","BP"
"4219","GO:0008528",0.238250461083155,0.81412131355923,48,136,"G protein-coupled peptide receptor activity","MF"
"11378","GO:0043496",0.238307783635469,0.873848816083275,9,23,"regulation of protein homodimerization activity","BP"
"2887","GO:0005896",0.238380762386674,0.968007288959261,2,3,"interleukin-6 receptor complex","CC"
"2274","GO:0004767",0.23843472442169,0.921961892276459,4,8,"sphingomyelin phosphodiesterase activity","MF"
"12816","GO:0046951",0.238460159683554,0.96798882371369,2,3,"ketone body biosynthetic process","BP"
"2422","GO:0004980",0.238524993255014,0.967973741660201,2,3,"melanocyte-stimulating hormone receptor activity","MF"
"17900","GO:0097343",0.238532757292966,0.944778603610112,3,5,"ripoptosome assembly","BP"
"19106","GO:1901026",0.238532757292966,0.944778603610112,3,5,"ripoptosome assembly involved in necroptotic process","BP"
"5744","GO:0016077",0.238535697995366,1,1,1,"snoRNA catabolic process","BP"
"10089","GO:0035862",0.238535697995366,1,1,1,"dITP metabolic process","BP"
"10090","GO:0035863",0.238535697995366,1,1,1,"dITP catabolic process","BP"
"17920","GO:0097382",0.238535697995366,1,1,1,"deoxynucleoside-diphosphatase activity","MF"
"17921","GO:0097383",0.238535697995366,1,1,1,"dIDP diphosphatase activity","MF"
"19326","GO:1901639",0.238535697995366,1,1,1,"XDP catabolic process","BP"
"19327","GO:1901640",0.238535697995366,1,1,1,"XTP binding","MF"
"19328","GO:1901641",0.238535697995366,1,1,1,"ITP binding","MF"
"21318","GO:1990003",0.238535697995366,1,1,1,"IDP phosphatase activity","MF"
"17578","GO:0090331",0.238680726130777,0.898024763179826,6,13,"negative regulation of platelet aggregation","BP"
"12864","GO:0047127",0.238799744275804,1,1,1,"thiomorpholine-carboxylate dehydrogenase activity","MF"
"18374","GO:0099012",0.238832834110324,0.94466983425262,3,5,"neuronal dense core vesicle membrane","CC"
"12796","GO:0046916",0.238903111970413,0.826022247897964,30,86,"cellular transition metal ion homeostasis","BP"
"11467","GO:0043626",0.23893162649318,1,1,1,"PCNA complex","CC"
"11841","GO:0044796",0.23893162649318,1,1,1,"DNA polymerase processivity factor complex","CC"
"17528","GO:0090277",0.238973066478169,0.818594723211501,39,112,"positive regulation of peptide hormone secretion","BP"
"2810","GO:0005777",0.23898986293491,0.813300858997339,48,138,"peroxisome","CC"
"10889","GO:0042579",0.23898986293491,0.813300858997339,48,138,"microbody","CC"
"3347","GO:0006610",0.239013787966969,0.92777337972951,4,7,"ribosomal protein import into nucleus","BP"
"14772","GO:0060298",0.239023392954912,0.94460071450557,3,5,"positive regulation of sarcomere organization","BP"
"17206","GO:0072708",0.239039746642258,0.967853872833538,2,3,"response to sorbitol","BP"
"20706","GO:1904627",0.239043365507894,0.967853029346158,2,3,"response to phorbol 13-acetate 12-myristate","BP"
"20707","GO:1904628",0.239043365507894,0.967853029346158,2,3,"cellular response to phorbol 13-acetate 12-myristate","BP"
"19627","GO:1902410",0.239174065127463,0.874421836694568,9,22,"mitotic cytokinetic process","BP"
"6484","GO:0019103",0.239582315039482,0.906275026780339,5,11,"pyrimidine nucleotide binding","MF"
"1414","GO:0002950",0.239758547483127,0.9676861219544,2,3,"ceramide phosphoethanolamine synthase activity","MF"
"8984","GO:0033188",0.239758547483127,0.9676861219544,2,3,"sphingomyelin synthase activity","MF"
"12921","GO:0047493",0.239758547483127,0.9676861219544,2,3,"ceramide cholinephosphotransferase activity","MF"
"16846","GO:0072050",0.239822597347428,0.921297885325328,4,8,"S-shaped body morphogenesis","BP"
"12692","GO:0046670",0.23985217002583,1,1,1,"positive regulation of retinal cell programmed cell death","BP"
"22075","GO:2000631",0.23985217002583,1,1,1,"regulation of pre-miRNA processing","BP"
"22076","GO:2000632",0.23985217002583,1,1,1,"negative regulation of pre-miRNA processing","BP"
"7463","GO:0030497",0.239928919181158,0.894848022698293,6,14,"fatty acid elongation","BP"
"198","GO:0000400",0.239940623090727,0.890005172498659,7,15,"four-way junction DNA binding","MF"
"16135","GO:0070742",0.240159824480901,0.897165135164742,6,13,"C2H2 zinc finger domain binding","MF"
"1030","GO:0002337",0.240264853677286,0.967567705886892,2,3,"B-1a B cell differentiation","BP"
"9526","GO:0034633",0.24041063079943,0.967533571892687,2,3,"retinol transport","BP"
"12763","GO:0046864",0.24041063079943,0.967533571892687,2,3,"isoprenoid transport","BP"
"12764","GO:0046865",0.24041063079943,0.967533571892687,2,3,"terpenoid transport","BP"
"16791","GO:0071938",0.24041063079943,0.967533571892687,2,3,"vitamin A transport","BP"
"16792","GO:0071939",0.24041063079943,0.967533571892687,2,3,"vitamin A import","BP"
"4482","GO:0009209",0.240567124132426,0.913524263952528,4,10,"pyrimidine ribonucleoside triphosphate biosynthetic process","BP"
"11246","GO:0043257",0.240637538571879,1,1,1,"laminin-8 complex","CC"
"17131","GO:0072562",0.240740132435292,0.935831129284558,3,6,"blood microparticle","CC"
"15505","GO:0061588",0.240855771898856,0.943934185730303,3,5,"calcium activated phospholipid scrambling","BP"
"15507","GO:0061590",0.240855771898856,0.943934185730303,3,5,"calcium activated phosphatidylcholine scrambling","BP"
"15508","GO:0061591",0.240855771898856,0.943934185730303,3,5,"calcium activated galactosylceramide scrambling","BP"
"9091","GO:0033564",0.240888936647399,0.943922090550328,3,5,"anterior/posterior axon guidance","BP"
"19146","GO:1901160",0.240963066649362,0.887192727073355,7,16,"primary amino compound metabolic process","BP"
"20447","GO:1904155",0.241159234453263,1,1,1,"DN2 thymocyte differentiation","BP"
"20448","GO:1904156",0.241159234453263,1,1,1,"DN3 thymocyte differentiation","BP"
"7681","GO:0030990",0.241239648815993,0.859702430260447,12,30,"intraciliary transport particle","CC"
"7621","GO:0030881",0.241306744932389,0.905331220054585,5,11,"beta-2-microglobulin binding","MF"
"12053","GO:0045322",0.24137202654228,0.943745780772005,3,5,"unmethylated CpG binding","MF"
"14251","GO:0051904",0.24145221841628,0.885054245929669,7,17,"pigment granule transport","BP"
"14823","GO:0060363",0.241704017597743,0.920394364155063,4,8,"cranial suture morphogenesis","BP"
"15395","GO:0061312",0.24174003756801,0.935418583120022,3,6,"BMP signaling pathway involved in heart development","BP"
"3090","GO:0006258",0.241809234047377,1,1,1,"UDP-glucose catabolic process","BP"
"3948","GO:0008108",0.241809234047377,1,1,1,"UDP-glucose:hexose-1-phosphate uridylyltransferase activity","MF"
"3435","GO:0006729",0.241821297394152,0.930247109652092,3,7,"tetrahydrobiopterin biosynthetic process","BP"
"14562","GO:0055131",0.241857335771905,0.943568421760282,3,5,"C3HC4-type RING finger domain binding","MF"
"19219","GO:1901339",0.241874032882001,0.908641205609497,5,10,"regulation of store-operated calcium channel activity","BP"
"6465","GO:0019062",0.241907700880869,0.943550001809128,3,5,"virion attachment to host cell","BP"
"14131","GO:0051666",0.241922315295262,0.943544656418926,3,5,"actin cortical patch localization","BP"
"6224","GO:0017024",0.241938951113042,1,1,1,"myosin I binding","MF"
"10115","GO:0035904",0.242023985908769,0.831663330945189,25,62,"aorta development","BP"
"22355","GO:2001204",0.242108269588769,0.904891429801524,5,11,"regulation of osteoclast development","BP"
"7731","GO:0031081",0.242320105224777,0.967084840841607,2,3,"nuclear pore distribution","BP"
"14129","GO:0051664",0.242320105224777,0.967084840841607,2,3,"nuclear pore localization","BP"
"5708","GO:0016012",0.242380787072187,0.935153641725513,3,6,"sarcoglycan complex","CC"
"2137","GO:0004576",0.242462295574295,0.915717654354488,4,9,"oligosaccharyl transferase activity","MF"
"2140","GO:0004579",0.242462295574295,0.915717654354488,4,9,"dolichyl-diphosphooligosaccharide-protein glycotransferase activity","MF"
"9852","GO:0035497",0.242497733587684,0.89580165421169,6,13,"cAMP response element binding","MF"
"6982","GO:0021819",0.242647929322647,0.888350315880579,7,15,"layer formation in cerebral cortex","BP"
"18704","GO:0110104",0.24273269101915,0.966987485433039,2,3,"mRNA alternative polyadenylation","BP"
"21358","GO:1990120",0.24273269101915,0.966987485433039,2,3,"messenger ribonucleoprotein complex assembly","BP"
"15532","GO:0061635",0.242774043711235,0.9198787647122,4,8,"regulation of protein complex stability","BP"
"13417","GO:0050152",0.242844328764957,1,1,1,"omega-amidase activity","MF"
"19964","GO:1903202",0.242851853207247,0.839281577497255,19,50,"negative regulation of oxidative stress-induced cell death","BP"
"15024","GO:0060620",0.242971972957378,0.955293835153018,2,4,"regulation of cholesterol import","BP"
"22244","GO:2000909",0.242971972957378,0.955293835153018,2,4,"regulation of sterol import","BP"
"17530","GO:0090279",0.243048838763752,0.845109195872579,16,43,"regulation of calcium ion import","BP"
"5524","GO:0015616",0.24305781319272,0.943128669942862,3,5,"DNA translocase activity","MF"
"19650","GO:1902474",0.243121164969165,0.943105422513769,3,5,"positive regulation of protein localization to synapse","BP"
"17459","GO:0090187",0.243188191971708,0.955225992087421,2,4,"positive regulation of pancreatic juice secretion","BP"
"14970","GO:0060546",0.243214014361771,0.895382757959753,6,13,"negative regulation of necroptotic process","BP"
"7006","GO:0021859",0.243288147893193,0.898451497052443,6,12,"pyramidal neuron differentiation","BP"
"10908","GO:0042608",0.243380770728671,0.885689127119807,7,16,"T cell receptor binding","MF"
"11247","GO:0043259",0.243395740014397,0.966830734065755,2,3,"laminin-10 complex","CC"
"16739","GO:0071864",0.243424951896045,0.904167457241281,5,11,"positive regulation of cell proliferation in bone marrow","BP"
"1057","GO:0002378",0.24354962576399,0.966794301810934,2,3,"immunoglobulin biosynthetic process","BP"
"5897","GO:0016413",0.243623869000609,0.919468373391681,4,8,"O-acetyltransferase activity","MF"
"1742","GO:0003896",0.243651814906549,0.966770097806223,2,3,"DNA primase activity","MF"
"3372","GO:0006643",0.243696029775964,0.805624625966406,56,160,"membrane lipid metabolic process","BP"
"9962","GO:0035651",0.243803109397737,0.966734247044975,2,3,"AP-3 adaptor complex binding","MF"
"6590","GO:0019402",0.244001586334376,1,1,1,"galactitol metabolic process","BP"
"7283","GO:0030173",0.244054409182642,0.841894847264841,17,46,"integral component of Golgi membrane","CC"
"17897","GO:0097340",0.244178980361153,0.919199874335508,4,8,"inhibition of cysteine-type endopeptidase activity","BP"
"17898","GO:0097341",0.244178980361153,0.919199874335508,4,8,"zymogen inhibition","BP"
"9986","GO:0035693",0.244193718213972,1,1,1,"NOS2-CD74 complex","CC"
"10933","GO:0042658",0.244193718213972,1,1,1,"MHC class II protein binding, via antigen binding groove","MF"
"21399","GO:1990253",0.244240951647515,0.907380933980117,5,10,"cellular response to leucine starvation","BP"
"1917","GO:0004155",0.244257714883717,1,1,1,"6,7-dihydropteridine reductase activity","MF"
"15349","GO:0061168",0.244257714883717,1,1,1,"regulation of hair follicle placode formation","BP"
"15350","GO:0061170",0.244257714883717,1,1,1,"negative regulation of hair follicle placode formation","BP"
"571","GO:0001665",0.244297148225267,0.942673143745757,3,5,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity","MF"
"6174","GO:0016893",0.244450884745946,0.84909444040695,14,38,"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","MF"
"14700","GO:0060180",0.244465893561373,0.892146137336398,6,14,"female mating behavior","BP"
"969","GO:0002248",0.244521434541818,0.934265240764956,3,6,"connective tissue replacement involved in inflammatory response wound healing","BP"
"17790","GO:0097136",0.244524749081733,0.934263861275666,3,6,"Bcl-2 family protein complex","CC"
"22112","GO:2000672",0.244547791851758,0.934254270694682,3,6,"negative regulation of motor neuron apoptotic process","BP"
"400","GO:0001030",0.244562043830994,0.942575576482955,3,5,"RNA polymerase III type 1 promoter DNA binding","MF"
"401","GO:0001031",0.244562043830994,0.942575576482955,3,5,"RNA polymerase III type 2 promoter DNA binding","MF"
"17244","GO:0080084",0.244562043830994,0.942575576482955,3,5,"5S rDNA binding","MF"
"5827","GO:0016251",0.244577343471499,1,1,1,"RNA polymerase II general transcription initiation factor activity","MF"
"315","GO:0000808",0.244679103547238,0.918957682100734,4,8,"origin recognition complex","CC"
"2739","GO:0005664",0.244679103547238,0.918957682100734,4,8,"nuclear origin of replication recognition complex","CC"
"255","GO:0000578",0.244730673948768,0.84827125197659,15,37,"embryonic axis specification","BP"
"4411","GO:0009131",0.244768836747396,1,1,1,"pyrimidine nucleoside monophosphate catabolic process","BP"
"4453","GO:0009178",0.244768836747396,1,1,1,"pyrimidine deoxyribonucleoside monophosphate catabolic process","BP"
"12432","GO:0046079",0.244768836747396,1,1,1,"dUMP catabolic process","BP"
"18420","GO:0099094",0.244808543448618,0.815761468961121,38,99,"ligand-gated cation channel activity","MF"
"15578","GO:0061734",0.244949787032287,0.942432632590925,3,5,"parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization","BP"
"5973","GO:0016539",0.244981185440971,0.966454439919817,2,3,"intein-mediated protein splicing","BP"
"7646","GO:0030908",0.244981185440971,0.966454439919817,2,3,"protein splicing","BP"
"3271","GO:0006527",0.245053371325616,0.903269466076672,5,11,"arginine catabolic process","BP"
"10808","GO:0042427",0.245154598038138,0.934001503144239,3,6,"serotonin biosynthetic process","BP"
"19147","GO:1901162",0.245154598038138,0.934001503144239,3,6,"primary amino compound biosynthetic process","BP"
"1106","GO:0002461",0.245179237226157,0.942347972192356,3,5,"tolerance induction dependent upon immune response","BP"
"9713","GO:0035197",0.245298382885487,0.906815945789713,5,10,"siRNA binding","MF"
"1846","GO:0004058",0.245342038551305,1,1,1,"aromatic-L-amino-acid decarboxylase activity","MF"
"10380","GO:0036468",0.245342038551305,1,1,1,"L-dopa decarboxylase activity","MF"
"7689","GO:0031010",0.245534993674021,0.903003322615661,5,11,"ISWI-type complex","CC"
"16385","GO:0071280",0.245628333782293,0.897830961128965,5,13,"cellular response to copper ion","BP"
"723","GO:0001884",0.245634208437699,0.942179942395213,3,5,"pyrimidine nucleoside binding","MF"
"15036","GO:0060649",0.245659655274624,1,1,1,"mammary gland bud elongation","BP"
"15038","GO:0060659",0.245659655274624,1,1,1,"nipple sheath formation","BP"
"15355","GO:0061182",0.245659655274624,1,1,1,"negative regulation of chondrocyte development","BP"
"1357","GO:0002862",0.245728781288275,0.891390180062367,6,14,"negative regulation of inflammatory response to antigenic stimulus","BP"
"13357","GO:0048820",0.245775994876041,0.857311005742835,12,29,"hair follicle maturation","BP"
"8375","GO:0032275",0.245793883969421,0.900008008251934,5,12,"luteinizing hormone secretion","BP"
"10171","GO:0036003",0.245809447055,0.860680238821119,11,27,"positive regulation of transcription from RNA polymerase II promoter in response to stress","BP"
"7053","GO:0021940",0.245856748177382,0.906517122577956,5,10,"positive regulation of cerebellar granule cell precursor proliferation","BP"
